3ww3esz,split,question_id,track,topic_area,difficulty_level,difficulty_encoded,question_text,model_answer,student_answer,label,student_word_count,model_word_count,length_ratio,max_score
S02900,train,FE002,Front-End,HTML,easy,0,What is the difference between block and inline elements in HTML?,Block elements start on a new line and take full width. Inline elements flow within content and take only needed width.,The head contains things like meta charset and linked stylesheets.,1,10,21,0.476,10
S00512,test,FE006,Front-End,HTML,medium,1,What are HTML forms used for?,"HTML forms collect user input through fields, checkboxes, and buttons, then submit data to a server for processing.",The head tag contains metadata like title and CSS links not shown on page.,1,14,18,0.778,10
S07894,test,FE007,Front-End,HTML,hard,2,What is the difference between GET and POST methods in HTML forms?,GET appends data to the URL for non-sensitive retrieval. POST sends data in the request body for sensitive or large submissions.,Meta tags are visible to users in the browser.,0,9,21,0.429,10
S00526,test,FE006,Front-End,HTML,medium,1,What are HTML forms used for?,"HTML forms collect user input through fields, checkboxes, and buttons, then submit data to a server for processing.",HTML comments are visible to users in the browser.,0,9,18,0.5,10
S03776,train,FE020,Front-End,JavaScript,easy,0,"What is the difference between var, let, and const in JavaScript?",var is function-scoped and hoisted. let is block-scoped and reassignable. const is block-scoped and cannot be reassigned.,A callback is a function passed as an argument to be called later.,1,13,17,0.765,10
S06514,train,FE029,Front-End,JavaScript,hard,2,What is closure in JavaScript?,A closure is a function that retains access to its outer scope variables even after the outer function has finished executing.,The DOM is a database used to store web page data.,0,11,21,0.524,10
S06944,train,FE014,Front-End,CSS,medium,1,What is the difference between position relative and position absolute?,Relative positions an element relative to its normal position. Absolute positions it relative to its nearest positioned ancestor.,Relatively positioned elements remain in flow but can be offset.,1,10,18,0.556,10
S06853,train,DA003,Data Analysis,Pandas,easy,0,What does the pandas describe() function return?,"It returns summary statistics including count, mean, std, min, 25%, 50%, 75%, and max for numerical columns.",merge() stacks DataFrames vertically.,0,4,17,0.235,10
S01478,train,FE013,Front-End,CSS,medium,1,What is CSS Grid?,CSS Grid is a two-dimensional layout system for defining rows and columns to place and align elements in a grid.,CSS custom properties work well with media queries for theming.,1,10,20,0.5,10
S00767,train,DA017,Data Analysis,Statistics,medium,1,What is correlation and how is it measured?,Correlation measures the linear relationship between two variables using the Pearson coefficient ranging from -1 to 1.,Outliers may indicate measurement errors or interesting anomalies.,1,8,17,0.471,10
S01515,test,DA006,Data Analysis,Pandas,medium,1,What is groupby() used for in pandas?,"groupby() splits data into groups, applies a function, and combines results for aggregation.","describe() is handy for quick EDA — it shows count, mean, std, min, quartiles, and max for numeric columns.",2,19,13,1.462,10
S02095,test,DA001,Data Analysis,Pandas,medium,1,What is a DataFrame in pandas?,"A DataFrame is a two-dimensional, size-mutable, tabular data structure with labeled axes (rows and columns) in pandas.",groupby() can only group by one column at a time.,0,10,17,0.588,10
S03846,train,FE030,Front-End,JavaScript,hard,2,What is the difference between localStorage and sessionStorage?,localStorage persists data with no expiration. sessionStorage stores data only for the page session and clears when the tab closes.,undefined indicates a variable was declared but never assigned. null is assigned intentionally to represent 'nothing' — a deliberate empty value.,2,21,20,1.05,10
S04213,train,DA022,Data Analysis,SQL,easy,0,What does the SELECT statement do in SQL?,"The SELECT statement retrieves data from one or more tables with optional filtering, sorting, and aggregation.",SQL is a type of graph database query language.,0,9,16,0.562,10
S06192,train,FE026,Front-End,JavaScript,medium,1,What is async/await in JavaScript?,async/await is syntactic sugar over Promises that allows writing asynchronous code in a synchronous readable style.,"=== compares both value and type strictly — no coercion. == does type coercion first, so values of different types can still be equal.",2,24,16,1.5,10
S05989,test,FE017,Front-End,CSS,hard,2,What is the difference between em and rem units in CSS?,"em is relative to the parent font size. rem is relative to the root element font size, making it more predictable.",The contain property is used to add borders to elements.,0,10,21,0.476,10
S01524,test,DA006,Data Analysis,Pandas,medium,1,What is groupby() used for in pandas?,"groupby() splits data into groups, applies a function, and combines results for aggregation.","loc and iloc both select subsets of a DataFrame — loc by label, iloc by integer position.",2,17,13,1.308,10
S01433,train,FE013,Front-End,CSS,medium,1,What is CSS Grid?,CSS Grid is a two-dimensional layout system for defining rows and columns to place and align elements in a grid.,"em is proportional to parent font size, rem to the root element.",1,12,20,0.6,10
S05035,test,FE010,Front-End,CSS,easy,0,What is the CSS box model?,"The CSS box model describes rectangular boxes consisting of content, padding, border, and margin from inside out.",z-index works on all elements regardless of position.,0,8,17,0.471,10
S02640,train,DA002,Data Analysis,Pandas,easy,0,How do you read a CSV file using pandas?,You use pd.read_csv('filename.csv') to read a CSV file into a DataFrame.,"Missing data in pandas: isnull() detects it, dropna() removes it, fillna() fills it with a value or strategy.",2,18,11,1.636,10
S06772,train,DA003,Data Analysis,Pandas,easy,0,What does the pandas describe() function return?,"It returns summary statistics including count, mean, std, min, 25%, 50%, 75%, and max for numerical columns.",fillna() removes rows with missing values.,0,6,17,0.353,10
S08200,train,FE036,Front-End,React,hard,2,What is the useEffect hook and when do you use it?,"useEffect is a React hook for handling side effects like data fetching, subscriptions, or DOM manipulation. It runs after every render by default, or when specified dependencies change.",useEffect runs before the component is mounted.,0,7,28,0.25,10
S05367,train,DA016,Data Analysis,Statistics,medium,1,What is standard deviation?,Standard deviation measures the spread of data around the mean. Low values mean data clusters near the mean; high values mean it is spread out.,"Pearson's r measures linear correlation — +1 is perfect positive, -1 is perfect negative, and 0 means no linear relationship.",2,20,25,0.8,10
S07692,train,DA004,Data Analysis,Pandas,medium,1,How do you handle missing values in a pandas DataFrame?,"You can use dropna() to remove missing values, fillna() to replace them, or interpolate() to estimate them.",groupby() groups data and enables aggregate computations per group — fundamental for summarizing datasets.,2,14,17,0.824,10
S03397,train,DA018,Data Analysis,Statistics,medium,1,What is the difference between variance and standard deviation?,"Variance is the average of squared differences from the mean. Standard deviation is the square root of variance, in the same units as the data.",Correlation of -1 means there's no relationship between variables.,0,9,25,0.36,10
S00121,train,DA012,Data Analysis,Visualization,medium,1,What is seaborn and how does it differ from matplotlib?,Seaborn is a high-level statistical visualization library built on matplotlib with easier syntax and better default aesthetics.,Seaborn is a standalone library with no dependencies.,0,8,17,0.471,10
S07211,train,DA019,Data Analysis,Statistics,medium,1,What is a normal distribution?,A normal distribution is a symmetric bell-shaped probability distribution where data clusters around the mean with equal tails on both sides.,Standard deviation is commonly used to describe spread of data.,1,10,21,0.476,10
S05978,test,FE017,Front-End,CSS,hard,2,What is the difference between em and rem units in CSS?,"em is relative to the parent font size. rem is relative to the root element font size, making it more predictable.",The box model affects layout — box-sizing:border-box changes the default.,1,10,21,0.476,10
S04245,train,DA022,Data Analysis,SQL,easy,0,What does the SELECT statement do in SQL?,"The SELECT statement retrieves data from one or more tables with optional filtering, sorting, and aggregation.","SQL is a standard language for accessing relational databases. You use SELECT to read data, INSERT to add records, UPDATE to modify, and DELETE to remove rows.",2,27,16,1.688,10
S06370,train,FE011,Front-End,CSS,easy,0,What is the difference between class and ID selectors in CSS?,An ID selector targets a unique element with higher specificity. A class selector targets multiple elements sharing the same class.,CSS Grid items must always span exactly one column.,0,9,20,0.45,10
S02331,train,DA007,Data Analysis,Pandas,hard,2,Explain the difference between merge() and concat() in pandas.,"merge() joins DataFrames based on common columns like SQL joins, while concat() stacks DataFrames along an axis.","merge() does SQL-like joins; concat() just stacks — use merge when joining on key columns, concat when appending.",2,18,17,1.059,10
S01490,test,DA006,Data Analysis,Pandas,medium,1,What is groupby() used for in pandas?,"groupby() splits data into groups, applies a function, and combines results for aggregation.",You can handle missing data by either dropping or filling those values.,1,12,13,0.923,10
S00270,train,FE027,Front-End,JavaScript,medium,1,What is the difference between null and undefined in JavaScript?,undefined means a variable is declared but not assigned. null is an intentional assignment representing no value.,A closure is when an inner function retains access to variables from its outer function's scope even after the outer function has finished.,2,23,17,1.353,10
S01141,train,DA020,Data Analysis,Statistics,hard,2,What is an outlier and how can it be detected?,"An outlier is a data point significantly different from others. It is detected using IQR, z-scores, or box plots.",Statistical tests always give you a definitive true or false answer.,0,11,19,0.579,10
S01714,test,FE009,Front-End,CSS,easy,0,What is CSS?,"CSS is a stylesheet language used to control the visual presentation of HTML including colors, fonts, and layout.",ID selectors have lower specificity than class selectors.,0,8,18,0.444,10
S01604,test,DA006,Data Analysis,Pandas,medium,1,What is groupby() used for in pandas?,"groupby() splits data into groups, applies a function, and combines results for aggregation.",describe() outputs statistics for each numeric column in the DataFrame.,1,10,13,0.769,10
S01735,test,FE009,Front-End,CSS,easy,0,What is CSS?,"CSS is a stylesheet language used to control the visual presentation of HTML including colors, fonts, and layout.",Flexbox is only used for vertical layouts.,0,7,18,0.389,10
S07247,train,DA019,Data Analysis,Statistics,medium,1,What is a normal distribution?,A normal distribution is a symmetric bell-shaped probability distribution where data clusters around the mean with equal tails on both sides.,Normal distributions are characterized by mean and standard deviation.,1,9,21,0.429,10
S04290,train,DA022,Data Analysis,SQL,easy,0,What does the SELECT statement do in SQL?,"The SELECT statement retrieves data from one or more tables with optional filtering, sorting, and aggregation.","SQL is a standard language for accessing relational databases. You use SELECT to read data, INSERT to add records, UPDATE to modify, and DELETE to remove rows.",2,27,16,1.688,10
S05009,test,FE010,Front-End,CSS,easy,0,What is the CSS box model?,"The CSS box model describes rectangular boxes consisting of content, padding, border, and margin from inside out.",Grid lets you define explicit track sizes and named areas.,1,10,17,0.588,10
S03362,test,FE024,Front-End,JavaScript,medium,1,What is a callback function in JavaScript?,A callback is a function passed as an argument to another function and executed after that function completes.,sessionStorage is cleared when the browser tab is closed.,1,9,18,0.5,10
S02398,train,DA007,Data Analysis,Pandas,hard,2,Explain the difference between merge() and concat() in pandas.,"merge() joins DataFrames based on common columns like SQL joins, while concat() stacks DataFrames along an axis.",reset_index() removes duplicate rows from a DataFrame.,0,7,17,0.412,10
S06833,train,DA003,Data Analysis,Pandas,easy,0,What does the pandas describe() function return?,"It returns summary statistics including count, mean, std, min, 25%, 50%, 75%, and max for numerical columns.",describe() gives summary statistics like mean and count for each column.,1,11,17,0.647,10
S05401,test,FE018,Front-End,CSS,hard,2,What is a CSS pseudo-class? Give examples.,"A pseudo-class styles elements based on state, such as :hover for mouse-over, :focus for inputs, and :nth-child() for position.","CSS animations can only use keyframes, not transitions.",0,8,19,0.421,10
S06968,train,FE014,Front-End,CSS,medium,1,What is the difference between position relative and position absolute?,Relative positions an element relative to its normal position. Absolute positions it relative to its nearest positioned ancestor.,Pseudo-classes respond to user interaction or structural conditions.,1,8,18,0.444,10
S08256,train,FE039,Front-End,Git,easy,0,What does git clone do?,"git clone creates a local copy of a remote repository, including all files, branches, and commit history.","It creates a local directory containing the complete repository — all files, full commit history, all branches. Also sets up remote tracking so you can pull updates and push changes.",2,30,17,1.765,10
S06814,train,DA003,Data Analysis,Pandas,easy,0,What does the pandas describe() function return?,"It returns summary statistics including count, mean, std, min, 25%, 50%, 75%, and max for numerical columns.",The shape attribute returns the column names of a DataFrame.,0,10,17,0.588,10
S01937,train,DA011,Data Analysis,Visualization,medium,1,When would you use a scatter plot?,A scatter plot is used to visualize the relationship or correlation between two continuous numerical variables.,Bar charts are great for comparing totals across different groups.,1,10,16,0.625,10
S07213,train,DA019,Data Analysis,Statistics,medium,1,What is a normal distribution?,A normal distribution is a symmetric bell-shaped probability distribution where data clusters around the mean with equal tails on both sides.,The normal distribution is the only distribution in statistics.,0,9,21,0.429,10
S02846,train,FE002,Front-End,HTML,easy,0,What is the difference between block and inline elements in HTML?,Block elements start on a new line and take full width. Inline elements flow within content and take only needed width.,The head contains things like meta charset and linked stylesheets.,1,10,21,0.476,10
S02781,train,DA009,Data Analysis,Visualization,easy,0,What is matplotlib used for?,"Matplotlib is a Python library for creating static, animated, and interactive visualizations such as line plots, bar charts, and scatter plots.",Histograms group data into bins and show the frequency of observations in each range.,2,14,21,0.667,10
S00037,train,DA012,Data Analysis,Visualization,medium,1,What is seaborn and how does it differ from matplotlib?,Seaborn is a high-level statistical visualization library built on matplotlib with easier syntax and better default aesthetics.,A bar chart and histogram display identical information.,0,8,17,0.471,10
S00495,test,FE006,Front-End,HTML,medium,1,What are HTML forms used for?,"HTML forms collect user input through fields, checkboxes, and buttons, then submit data to a server for processing.","HTML is the markup language that structures web content. It uses tags like <div>, <p>, and <h1> to define the structure of a page.",2,24,18,1.333,10
S00199,train,FE027,Front-End,JavaScript,medium,1,What is the difference between null and undefined in JavaScript?,undefined means a variable is declared but not assigned. null is an intentional assignment representing no value.,Proxy objects can only intercept get operations.,0,7,17,0.412,10
S01247,train,FE019,Front-End,JavaScript,easy,0,What is JavaScript?,"JavaScript is a scripting language that adds interactivity, dynamic behavior, and logic to web pages, running in the browser.",undefined is the default value for declared but unassigned variables.,1,10,19,0.526,10
S01799,train,FE003,Front-End,HTML,easy,0,What is the purpose of the HTML head tag?,"The head tag contains metadata like title, charset, linked stylesheets, and scripts not displayed on the page.","GET queries show parameters in the URL bar, POST doesn't.",1,10,17,0.588,10
S05886,train,FE025,Front-End,JavaScript,medium,1,What is a Promise in JavaScript?,"A Promise represents the eventual completion or failure of an asynchronous operation with states: pending, fulfilled, or rejected.","var: function-scoped, hoisted, can be redeclared. let: block-scoped, can be reassigned. const: block-scoped, cannot be reassigned.",2,16,18,0.889,10
S07481,test,FE004,Front-End,HTML,medium,1,What is semantic HTML?,"Semantic HTML uses meaningful tags like header, nav, article, and footer that describe content purpose, improving accessibility and SEO.","GET appends data to the URL, POST sends data in the request body.",1,13,19,0.684,10
S06950,train,FE014,Front-End,CSS,medium,1,What is the difference between position relative and position absolute?,Relative positions an element relative to its normal position. Absolute positions it relative to its nearest positioned ancestor.,position:relative is commonly used as a positioning context for children.,1,10,18,0.556,10
S02463,train,DA005,Data Analysis,Pandas,medium,1,What is the difference between loc and iloc in pandas?,loc uses label-based indexing while iloc uses integer position-based indexing to select rows and columns.,"Handle missing values by identifying with isnull(), removing with dropna(), or filling with fillna() or interpolate().",2,16,15,1.067,10
S05812,train,FE025,Front-End,JavaScript,medium,1,What is a Promise in JavaScript?,"A Promise represents the eventual completion or failure of an asynchronous operation with states: pending, fulfilled, or rejected.",Proxy objects can only intercept get operations.,0,7,18,0.389,10
S04646,test,FE005,Front-End,HTML,medium,1,What is the difference between div and span?,div is a block-level container for grouping elements. span is an inline container for styling inline content.,"Block elements start on a new line, inline elements flow with text.",1,12,17,0.706,10
S06668,test,FE012,Front-End,CSS,medium,1,What is Flexbox in CSS?,"Flexbox arranges items in a row or column, allowing flexible sizing and alignment within a container.",Media queries apply styles based on screen characteristics like width.,1,10,16,0.625,10
S01900,train,DA011,Data Analysis,Visualization,medium,1,When would you use a scatter plot?,A scatter plot is used to visualize the relationship or correlation between two continuous numerical variables.,Bar charts show the distribution of a continuous variable.,0,9,16,0.562,10
S06828,train,DA003,Data Analysis,Pandas,easy,0,What does the pandas describe() function return?,"It returns summary statistics including count, mean, std, min, 25%, 50%, 75%, and max for numerical columns.","describe() is handy for quick EDA — it shows count, mean, std, min, quartiles, and max for numeric columns.",2,19,17,1.118,10
S04820,train,DA015,Data Analysis,Statistics,easy,0,"What is the difference between mean, median, and mode?",Mean is the average of all values. Median is the middle value. Mode is the most frequently occurring value.,Variance is always non-negative.,1,4,19,0.211,10
S03588,train,DA025,Data Analysis,SQL,medium,1,What is the purpose of GROUP BY in SQL?,"GROUP BY groups rows with the same column values so aggregate functions like COUNT, SUM, or AVG can be applied.","SQL stands for Structured Query Language. It's designed for relational databases and allows you to SELECT, INSERT, UPDATE, and DELETE data in tables.",2,23,20,1.15,10
S05516,test,FE018,Front-End,CSS,hard,2,What is a CSS pseudo-class? Give examples.,"A pseudo-class styles elements based on state, such as :hover for mouse-over, :focus for inputs, and :nth-child() for position.",The cascade means higher specificity rules override lower ones.,1,9,19,0.474,10
S05650,train,DA029,Data Analysis,EDA,hard,2,What is feature engineering?,"Feature engineering creates, transforms, or selects variables from raw data to improve machine learning model performance.",Data cleaning is a subset of data collection.,0,8,16,0.5,10
S05791,train,FE021,Front-End,JavaScript,easy,0,What is the DOM?,The DOM is a tree-like representation of an HTML document that JavaScript manipulates to change content and structure.,Template literals use single quotes instead of backticks.,0,8,18,0.444,10
S06274,train,DA023,Data Analysis,SQL,medium,1,What is the difference between WHERE and HAVING in SQL?,"WHERE filters rows before grouping, while HAVING filters groups after a GROUP BY operation.",SQL is a desktop application you install like Microsoft Word.,0,10,14,0.714,10
S01402,train,FE013,Front-End,CSS,medium,1,What is CSS Grid?,CSS Grid is a two-dimensional layout system for defining rows and columns to place and align elements in a grid.,CSS blend modes only work with background colors.,0,8,20,0.4,10
S06570,train,FE029,Front-End,JavaScript,hard,2,What is closure in JavaScript?,A closure is a function that retains access to its outer scope variables even after the outer function has finished executing.,A closure is the combination of a function and the lexical scope it was defined in. The inner function retains access to outer variables.,2,24,21,1.143,10
S04735,train,DA015,Data Analysis,Statistics,easy,0,"What is the difference between mean, median, and mode?",Mean is the average of all values. Median is the middle value. Mode is the most frequently occurring value.,Type I and Type II errors are the same thing.,0,10,19,0.526,10
S08230,train,FE038,Front-End,Git,easy,0,What is the difference between git commit and git push?,git commit saves changes to the local repository with a message. git push uploads those committed changes to a remote repository like GitHub.,git push saves changes only to your local machine.,0,9,23,0.391,10
S00595,train,DA030,Data Analysis,EDA,hard,2,What is the difference between supervised and unsupervised learning?,Supervised learning trains on labeled data to predict outcomes. Unsupervised learning finds patterns in unlabeled data without predefined outputs.,Feature engineering is always done using deep learning.,0,8,19,0.421,10
S07718,test,DA026,Data Analysis,SQL,hard,2,What is indexing in a database and why is it important?,Indexing creates a data structure to speed up query retrieval. It improves performance but requires storage and slows insertions.,SQL allows querying of relational databases using commands like SELECT.,1,10,19,0.526,10
S00182,train,FE027,Front-End,JavaScript,medium,1,What is the difference between null and undefined in JavaScript?,undefined means a variable is declared but not assigned. null is an intentional assignment representing no value.,"undefined means no value was assigned, null means explicitly no value.",1,11,17,0.647,10
S06158,train,FE026,Front-End,JavaScript,medium,1,What is async/await in JavaScript?,async/await is syntactic sugar over Promises that allows writing asynchronous code in a synchronous readable style.,JavaScript enables dynamic content and interactivity in web pages.,1,9,16,0.562,10
S05001,test,FE010,Front-End,CSS,easy,0,What is the CSS box model?,"The CSS box model describes rectangular boxes consisting of content, padding, border, and margin from inside out.","em is relative to the parent element's font-size, so it compounds. rem is relative to the root font-size, which makes it more predictable.",2,23,17,1.353,10
S03469,train,DA018,Data Analysis,Statistics,medium,1,What is the difference between variance and standard deviation?,"Variance is the average of squared differences from the mean. Standard deviation is the square root of variance, in the same units as the data.",A larger sample always guarantees statistical significance.,0,7,25,0.28,10
S07431,test,FE004,Front-End,HTML,medium,1,What is semantic HTML?,"Semantic HTML uses meaningful tags like header, nav, article, and footer that describe content purpose, improving accessibility and SEO.","The <head> tag contains machine-readable information: charset, title, linked stylesheets, JavaScript imports, and meta information.",2,15,19,0.789,10
S03332,test,FE024,Front-End,JavaScript,medium,1,What is a callback function in JavaScript?,A callback is a function passed as an argument to another function and executed after that function completes.,let and const were introduced in ES6 to fix problems with var.,1,12,18,0.667,10
S01725,test,FE009,Front-End,CSS,easy,0,What is CSS?,"CSS is a stylesheet language used to control the visual presentation of HTML including colors, fonts, and layout.","Flexbox handles one-dimensional layouts — either a row or a column — with controls for distribution, alignment, and wrapping of items.",2,21,18,1.167,10
S01946,train,DA011,Data Analysis,Visualization,medium,1,When would you use a scatter plot?,A scatter plot is used to visualize the relationship or correlation between two continuous numerical variables.,A histogram buckets data into ranges and shows frequency.,1,9,16,0.562,10
S06344,train,DA023,Data Analysis,SQL,medium,1,What is the difference between WHERE and HAVING in SQL?,"WHERE filters rows before grouping, while HAVING filters groups after a GROUP BY operation.","I know SQL is for databases and supports querying, but I'm fuzzy on all commands.",1,15,14,1.071,10
S07390,train,FE016,Front-End,CSS,medium,1,What is a CSS media query?,"A media query applies CSS styles conditionally based on device characteristics like screen width, enabling responsive design.",CSS Grid items must always span exactly one column.,0,9,17,0.529,10
S02771,train,DA009,Data Analysis,Visualization,easy,0,What is matplotlib used for?,"Matplotlib is a Python library for creating static, animated, and interactive visualizations such as line plots, bar charts, and scatter plots.",Bar charts use rectangular bars to compare values between categories.,1,10,21,0.476,10
S02702,train,DA009,Data Analysis,Visualization,easy,0,What is matplotlib used for?,"Matplotlib is a Python library for creating static, animated, and interactive visualizations such as line plots, bar charts, and scatter plots.",Heatmaps are good for visualizing matrix-like data with color intensity.,1,10,21,0.476,10
S02551,train,DA005,Data Analysis,Pandas,medium,1,What is the difference between loc and iloc in pandas?,loc uses label-based indexing while iloc uses integer position-based indexing to select rows and columns.,The shape attribute returns the column names of a DataFrame.,0,10,15,0.667,10
S01670,test,FE009,Front-End,CSS,easy,0,What is CSS?,"CSS is a stylesheet language used to control the visual presentation of HTML including colors, fonts, and layout.",Flex items can grow and shrink with flex-grow and flex-shrink.,1,10,18,0.556,10
S02990,train,DA024,Data Analysis,SQL,medium,1,What is a JOIN in SQL? Name the types.,"A JOIN combines rows from two tables. Types include INNER JOIN, LEFT JOIN, RIGHT JOIN, and FULL OUTER JOIN.",SQL manages relational databases — I know SELECT and INSERT but not the full set.,1,15,19,0.789,10
S08094,train,FE008,Front-End,HTML,hard,2,What are data attributes in HTML?,Data attributes (data-*) store custom data in HTML elements. They are accessed via JavaScript using dataset and do not affect rendering.,"div is a block-level box, span is an inline box — the fundamental layout distinction.",2,15,21,0.714,10
S03255,test,FE024,Front-End,JavaScript,medium,1,What is a callback function in JavaScript?,A callback is a function passed as an argument to another function and executed after that function completes.,The DOM is a tree-structured representation of an HTML document that JavaScript uses to access and dynamically modify page elements.,2,20,18,1.111,10
S07719,test,DA026,Data Analysis,SQL,hard,2,What is indexing in a database and why is it important?,Indexing creates a data structure to speed up query retrieval. It improves performance but requires storage and slows insertions.,"SQL lets you interact with relational databases using commands. SELECT retrieves data, INSERT adds new rows, UPDATE changes existing records, and DELETE removes data.",2,24,19,1.263,10
S01569,test,DA006,Data Analysis,Pandas,medium,1,What is groupby() used for in pandas?,"groupby() splits data into groups, applies a function, and combines results for aggregation.","loc and iloc both select subsets of a DataFrame — loc by label, iloc by integer position.",2,17,13,1.308,10
S00364,train,FE023,Front-End,JavaScript,medium,1,What is the difference between == and === in JavaScript?,"== compares values with type coercion. === compares both value and type without coercion, making it stricter.","Promises can only handle successful operations, not errors.",0,8,17,0.471,10
S05560,train,DA029,Data Analysis,EDA,hard,2,What is feature engineering?,"Feature engineering creates, transforms, or selects variables from raw data to improve machine learning model performance.",Data leakage is not a concern during EDA.,0,8,16,0.5,10
S01065,train,FE001,Front-End,HTML,easy,0,What is HTML?,HTML is the standard markup language used to create the structure and content of web pages.,Forms in HTML wrap input elements to collect user data. They use the action attribute to specify where data goes and method to specify how.,2,25,16,1.562,10
S07547,test,FE004,Front-End,HTML,medium,1,What is semantic HTML?,"Semantic HTML uses meaningful tags like header, nav, article, and footer that describe content purpose, improving accessibility and SEO.",HTML provides the skeleton of every web page.,1,8,19,0.421,10
S00358,train,FE023,Front-End,JavaScript,medium,1,What is the difference between == and === in JavaScript?,"== compares values with type coercion. === compares both value and type without coercion, making it stricter.",== and === are completely identical operators in JavaScript.,0,9,17,0.529,10
S02033,test,DA001,Data Analysis,Pandas,medium,1,What is a DataFrame in pandas?,"A DataFrame is a two-dimensional, size-mutable, tabular data structure with labeled axes (rows and columns) in pandas.",You can handle missing data by either dropping or filling those values.,1,12,17,0.706,10
S01045,train,FE001,Front-End,HTML,easy,0,What is HTML?,HTML is the standard markup language used to create the structure and content of web pages.,Data attributes are used to add CSS styles to HTML elements.,0,11,16,0.688,10
S07496,test,FE004,Front-End,HTML,medium,1,What is semantic HTML?,"Semantic HTML uses meaningful tags like header, nav, article, and footer that describe content purpose, improving accessibility and SEO.",Inline elements don't create line breaks while block ones do.,1,10,19,0.526,10
S05192,train,DA027,Data Analysis,EDA,easy,0,What is Exploratory Data Analysis (EDA)?,"EDA analyzes datasets to summarize characteristics, find patterns, detect anomalies, and test hypotheses using visual and statistical methods.","Data cleaning catches issues like duplicates, nulls, and mismatched types.",1,10,18,0.556,10
S06336,train,DA023,Data Analysis,SQL,medium,1,What is the difference between WHERE and HAVING in SQL?,"WHERE filters rows before grouping, while HAVING filters groups after a GROUP BY operation.","SQL is the language used to interact with relational databases. You use SELECT to query data, INSERT to add records, UPDATE to change existing data, and DELETE to remove it.",2,30,14,2.143,10
S05620,train,DA029,Data Analysis,EDA,hard,2,What is feature engineering?,"Feature engineering creates, transforms, or selects variables from raw data to improve machine learning model performance.",EDA is the final step in a data science project after model deployment.,0,13,16,0.812,10
S01758,train,FE003,Front-End,HTML,easy,0,What is the purpose of the HTML head tag?,"The head tag contains metadata like title, charset, linked stylesheets, and scripts not displayed on the page.","HTML is the foundation of web pages — it uses elements and tags to define headings, paragraphs, links, images, and other content.",2,22,17,1.294,10
S07665,train,DA004,Data Analysis,Pandas,medium,1,How do you handle missing values in a pandas DataFrame?,"You can use dropna() to remove missing values, fillna() to replace them, or interpolate() to estimate them.",merge() performs database-style joins on shared columns. concat() appends DataFrames together — vertically (rows) or horizontally (columns).,2,17,17,1,10
S03542,train,DA025,Data Analysis,SQL,medium,1,What is the purpose of GROUP BY in SQL?,"GROUP BY groups rows with the same column values so aggregate functions like COUNT, SUM, or AVG can be applied.",SQL is used to interact with relational databases for data operations.,1,11,20,0.55,10
S01059,train,FE001,Front-End,HTML,easy,0,What is HTML?,HTML is the standard markup language used to create the structure and content of web pages.,Block elements like div and p start on new lines and take up the full available width. Inline elements like span and a sit within text flow.,2,27,16,1.688,10
S05199,train,DA027,Data Analysis,EDA,easy,0,What is Exploratory Data Analysis (EDA)?,"EDA analyzes datasets to summarize characteristics, find patterns, detect anomalies, and test hypotheses using visual and statistical methods.","EDA means systematically examining a dataset to understand its properties, find patterns, detect outliers, and test assumptions before modeling.",2,19,18,1.056,10
S06446,train,FE011,Front-End,CSS,easy,0,What is the difference between class and ID selectors in CSS?,An ID selector targets a unique element with higher specificity. A class selector targets multiple elements sharing the same class.,The !important declaration overrides specificity entirely.,1,6,20,0.3,10
S04104,train,DA014,Data Analysis,Visualization,hard,2,Explain what a box plot shows.,"A box plot displays the median, quartiles, interquartile range, and outliers of a dataset in a compact visual format.",Histograms show the distribution of a variable by dividing it into equal-width bins and counting observations in each.,2,18,19,0.947,10
S03176,train,DA028,Data Analysis,EDA,easy,0,What is data cleaning?,"Data cleaning handles missing values, removes duplicates, corrects errors, and transforms data to ensure quality and consistency.",EDA helps understand patterns and potential issues before modeling.,1,9,17,0.529,10
S08070,train,FE008,Front-End,HTML,hard,2,What are data attributes in HTML?,Data attributes (data-*) store custom data in HTML elements. They are accessed via JavaScript using dataset and do not affect rendering.,GET is used to request data — it appends parameters to the URL and can be cached. POST submits data in the body and is better for forms with sensitive info.,2,31,21,1.476,10
S00974,train,FE001,Front-End,HTML,easy,0,What is HTML?,HTML is the standard markup language used to create the structure and content of web pages.,The head tag contains metadata like title and CSS links not shown on page.,1,14,16,0.875,10
S00564,train,DA030,Data Analysis,EDA,hard,2,What is the difference between supervised and unsupervised learning?,Supervised learning trains on labeled data to predict outcomes. Unsupervised learning finds patterns in unlabeled data without predefined outputs.,"Data cleaning involves handling missing values, fixing wrong data types, removing duplicates, and correcting inconsistent entries.",2,16,19,0.842,10
S02288,train,DA013,Data Analysis,Visualization,medium,1,What is a heatmap used for in data analysis?,"A heatmap displays data values as colors in a matrix format, commonly used to visualize correlation matrices.",Scatter plots are used to look for correlations or clusters in data.,1,12,17,0.706,10
S05727,train,FE021,Front-End,JavaScript,easy,0,What is the DOM?,The DOM is a tree-like representation of an HTML document that JavaScript manipulates to change content and structure.,"Event bubbling: after an event fires on the target element, it bubbles up through parent elements to the root.",2,19,18,1.056,10
